id,id_unico
PRBFC9D_09/04/2026 12:47:59,
PRC04BC_09/04/2026 12:46:57,
APC05A1_09/04/2026 11:52:44,
PRBF520_09/04/2026 11:33:22,
PRC07CC_09/04/2026 11:28:29,
PRC07A7_09/04/2026 10:52:45,
PRC07A7_09/04/2026 10:51:11,
PRC04BE_09/04/2026 10:27:54,
PRC05A5_09/04/2026 09:59:32,
PRBFC91_09/04/2026 09:56:49,
PRBEB4F_09/04/2026 09:45:17,
APC0649_09/04/2026 09:29:00,
APBFDCC_09/04/2026 08:46:52,
PRC0055_09/04/2026 08:42:38,
PRC05FB_09/04/2026 08:37:48,
APBF2E3_09/04/2026 08:06:06,
,APC0DACÓLEO DE ALGODÃO SAÚDE 15L2026-04-10T11:08:12
,APC0DACÓLEO DE ALGODÃO SAÚDE 15L2026-04-10T11:06:23
,APC0DACÓLEO DE ALGODÃO SAÚDE 15L2026-04-10T11:06:02
,APC0DACÓLEO DE ALGODÃO SAÚDE 15L2026-04-10T11:04:33
,PRC0DE0PATINHO RESF - SUPREMO 29 KG2026-04-10T10:28:01
,PRC0DE0PATINHO RESF - SUPREMO 29 KG2026-04-10T10:27:36
,PRC0DE0PATINHO RESF - SUPREMO 29 KG2026-04-10T10:27:23
,PRBFAF4QUEIJO MUSSARELA LITORAL 4KG - 4.2 KG2026-04-10T09:00:20
,PRBFAF4QUEIJO MUSSARELA LITORAL 4KG - 4.2 KG2026-04-10T08:59:42
,PRBFAF4QUEIJO MUSSARELA LITORAL 4KG - 4.2 KG2026-04-10T08:59:22
,PRBFAF4QUEIJO MUSSARELA LITORAL 4KG - 4.2 KG2026-04-10T08:59:06
,APC04C7CREME CULINARIO DAUS 1KG - 1 KG2026-04-10T08:09:30
,APC04C7CREME CULINARIO DAUS 1KG - 1 KG2026-04-10T08:08:54
,APC04C7CREME CULINARIO DAUS 1KG - 1 KG2026-04-10T08:08:35
,PRC0B38LEITE INTEGRAL JUSSARA LONGA VIDA - 1LX122026-04-10T07:34:57
,PRC0B38LEITE INTEGRAL JUSSARA LONGA VIDA - 1LX122026-04-10T07:34:39
,PRC0B38LEITE INTEGRAL JUSSARA LONGA VIDA - 1LX122026-04-10T07:34:10
,PRC0A2BLINGUIÇA CALABRESA CURVA-AURORA 5KG PCT / 25KG CX 25 C/5 - AURORA2026-04-09T14:48:54
